,discharge,datetime
587,152.38644,1902-08-11
588,128.11247,1902-08-12
589,112.19666,1902-08-13
590,113.07353,1902-08-14
591,112.675934,1902-08-15
592,105.47521,1902-08-16
593,145.75108,1902-08-17
594,205.47523,1902-08-18
595,207.88188,1902-08-19
596,189.78008,1902-08-20
597,166.31757,1902-08-21
598,145.10811,1902-08-22
599,127.39383,1902-08-23
600,111.28198,1902-08-24
601,97.630646,1902-08-25
602,86.83418,1902-08-26
603,78.6437,1902-08-27
604,72.45424,1902-08-28
605,67.672905,1902-08-29
606,93.32445,1902-08-30
607,122.85769,1902-08-31
608,116.791374,1902-09-01
609,106.04242,1902-09-02
610,94.53116,1902-09-03
611,83.97382,1902-09-04
612,114.094,1902-09-05
613,214.47922,1902-09-06
614,266.947,1902-09-07
615,235.24127,1902-09-08
616,185.05598,1902-09-09
617,151.95201,1902-09-10
618,133.80891,1902-09-11
619,165.78976,1902-09-12
620,234.53653,1902-09-13
621,228.07216,1902-09-14
622,190.37616,1902-09-15
623,153.23177,1902-09-16
624,125.132614,1902-09-17
625,105.242744,1902-09-18
626,91.34159,1902-09-19
627,81.670135,1902-09-20
628,74.918434,1902-09-21
629,70.14199,1902-09-22
630,66.72463,1902-09-23
631,64.19964,1902-09-24
632,62.196476,1902-09-25
633,60.494976,1902-09-26
634,58.984814,1902-09-27
635,57.61599,1902-09-28
636,56.364353,1902-09-29
637,55.217785,1902-09-30
638,59.086452,1902-10-01
639,62.856026,1902-10-02
640,62.369987,1902-10-03
641,62.574955,1902-10-04
642,63.20213,1902-10-05
643,112.18528,1902-10-06
644,213.14708,1902-10-07
645,243.07785,1902-10-08
646,213.2228,1902-10-09
647,171.80154,1902-10-10
648,137.91049,1902-10-11
649,151.26501,1902-10-12
650,188.61136,1902-10-13
651,183.97029,1902-10-14
652,160.51645,1902-10-15
653,169.47827,1902-10-16
654,178.0427,1902-10-17
655,149.56563,1902-10-18
656,125.73265,1902-10-19
657,119.0563,1902-10-20
658,121.749725,1902-10-21
659,114.751434,1902-10-22
660,111.30397,1902-10-23
661,118.963196,1902-10-24
662,125.475975,1902-10-25
663,123.76086,1902-10-26
664,115.27229,1902-10-27
665,105.11417,1902-10-28
666,96.1994,1902-10-29
667,89.408394,1902-10-30
668,84.48692,1902-10-31
669,80.84127,1902-11-01
670,78.067696,1902-11-02
671,75.86204,1902-11-03
672,74.03376,1902-11-04
673,72.45364,1902-11-05
674,71.03805,1902-11-06
675,69.74178,1902-11-07
676,68.54039,1902-11-08
677,67.41739,1902-11-09
678,66.44209,1902-11-10
679,65.59787,1902-11-11
680,64.78888,1902-11-12
681,63.97118,1902-11-13
682,63.12189,1902-11-14
683,62.239113,1902-11-15
684,61.335846,1902-11-16
685,60.430916,1902-11-17
686,59.54204,1902-11-18
687,58.68752,1902-11-19
688,57.874428,1902-11-20
689,57.10024,1902-11-21
690,56.362366,1902-11-22
691,55.65779,1902-11-23
692,55.053032,1902-11-24
693,54.517536,1902-11-25
694,53.975945,1902-11-26
695,53.419212,1902-11-27
696,60.98665,1902-11-28
697,67.47668,1902-11-29
698,64.95791,1902-11-30
699,79.47219,1902-12-01
700,140.52353,1902-12-02
701,221.26822,1902-12-03
702,231.3421,1902-12-04
703,196.16577,1902-12-05
704,159.05124,1902-12-06
705,130.30887,1902-12-07
706,109.75349,1902-12-08
707,95.18481,1902-12-09
708,84.76661,1902-12-10
709,77.33264,1902-12-11
710,72.11868,1902-12-12
711,68.46089,1902-12-13
712,65.81021,1902-12-14
