,discharge,datetime
599,2032.5172,1902-08-23
600,1895.5687,1902-08-24
601,1771.8113,1902-08-25
602,1662.087,1902-08-26
603,1592.3499,1902-08-27
604,1586.1805,1902-08-28
605,1624.8141,1902-08-29
606,1741.612,1902-08-30
607,1871.8955,1902-08-31
608,1918.8461,1902-09-01
609,1940.2848,1902-09-02
610,1929.4409,1902-09-03
611,1941.8994,1902-09-04
612,1973.3363,1902-09-05
613,1978.2587,1902-09-06
614,2019.091,1902-09-07
615,2071.3225,1902-09-08
616,2109.7493,1902-09-09
617,2141.1807,1902-09-10
618,2162.9106,1902-09-11
619,2203.522,1902-09-12
620,2352.8105,1902-09-13
621,2444.787,1902-09-14
622,2439.9924,1902-09-15
623,2369.2986,1902-09-16
624,2269.2822,1902-09-17
625,2167.5852,1902-09-18
626,2080.6714,1902-09-19
627,2004.4949,1902-09-20
628,1928.713,1902-09-21
629,1832.7396,1902-09-22
630,1708.1294,1902-09-23
631,1608.175,1902-09-24
632,1549.4956,1902-09-25
633,1468.5488,1902-09-26
634,1389.6284,1902-09-27
635,1341.4036,1902-09-28
636,1309.4492,1902-09-29
637,1283.0619,1902-09-30
638,1256.7528,1902-10-01
639,1226.2311,1902-10-02
640,1191.6088,1902-10-03
641,1157.1029,1902-10-04
642,1134.402,1902-10-05
643,1144.1426,1902-10-06
644,1198.8743,1902-10-07
645,1310.6948,1902-10-08
646,1499.2599,1902-10-09
647,1792.5984,1902-10-10
648,2084.258,1902-10-11
649,2226.459,1902-10-12
650,2283.8984,1902-10-13
651,2278.4238,1902-10-14
652,2239.9883,1902-10-15
653,2175.8125,1902-10-16
654,2136.0632,1902-10-17
655,2126.1829,1902-10-18
656,2119.0903,1902-10-19
657,2130.802,1902-10-20
658,2112.8662,1902-10-21
659,2057.3818,1902-10-22
660,2005.7471,1902-10-23
661,1956.5544,1902-10-24
662,1926.8081,1902-10-25
663,1901.9911,1902-10-26
664,1873.7772,1902-10-27
665,1841.5337,1902-10-28
666,1806.7765,1902-10-29
667,1769.6268,1902-10-30
668,1723.5035,1902-10-31
669,1656.1471,1902-11-01
670,1568.2338,1902-11-02
671,1475.2504,1902-11-03
672,1392.1125,1902-11-04
673,1325.3851,1902-11-05
674,1274.8522,1902-11-06
675,1237.0969,1902-11-07
676,1225.47,1902-11-08
677,1225.685,1902-11-09
678,1217.6075,1902-11-10
679,1222.6538,1902-11-11
680,1253.6462,1902-11-12
681,1282.465,1902-11-13
682,1290.8625,1902-11-14
683,1278.682,1902-11-15
684,1252.6226,1902-11-16
685,1218.4204,1902-11-17
686,1180.2228,1902-11-18
687,1141.4066,1902-11-19
688,1104.5891,1902-11-20
689,1071.3655,1902-11-21
690,1041.6693,1902-11-22
691,1013.8585,1902-11-23
692,983.3675,1902-11-24
693,953.2498,1902-11-25
694,936.2319,1902-11-26
695,927.65936,1902-11-27
696,933.96234,1902-11-28
697,937.4328,1902-11-29
698,940.64166,1902-11-30
699,958.6187,1902-12-01
700,1008.4545,1902-12-02
701,1087.3394,1902-12-03
702,1159.6282,1902-12-04
703,1184.1595,1902-12-05
704,1197.0948,1902-12-06
705,1209.4431,1902-12-07
706,1214.64,1902-12-08
707,1204.6528,1902-12-09
708,1175.9312,1902-12-10
709,1130.3744,1902-12-11
710,1074.32,1902-12-12
711,1015.5726,1902-12-13
712,960.4572,1902-12-14
713,921.656,1902-12-15
714,890.2674,1902-12-16
715,858.7548,1902-12-17
716,853.67706,1902-12-18
717,902.9466,1902-12-19
718,994.5278,1902-12-20
719,1103.6014,1902-12-21
720,1219.1678,1902-12-22
721,1331.7946,1902-12-23
722,1428.477,1902-12-24
723,1475.1406,1902-12-25
724,1480.3169,1902-12-26
725,1467.5432,1902-12-27
726,1476.7758,1902-12-28
727,1557.3513,1902-12-29
728,1779.6555,1902-12-30
729,2035.8472,1902-12-31
730,2242.5508,1903-01-01
731,2290.8335,1903-01-02
732,2239.2297,1903-01-03
733,2352.177,1903-01-04
734,3045.2932,1903-01-05
735,3917.601,1903-01-06
736,4130.211,1903-01-07
737,3795.4006,1903-01-08
738,3314.4885,1903-01-09
739,2881.8123,1903-01-10
740,2550.6833,1903-01-11
741,2309.844,1903-01-12
742,2142.5566,1903-01-13
743,2040.0515,1903-01-14
744,2008.9822,1903-01-15
745,2061.6133,1903-01-16
746,2173.6936,1903-01-17
747,2278.9731,1903-01-18
748,2326.9805,1903-01-19
749,2315.7178,1903-01-20
750,2269.7664,1903-01-21
751,2214.0286,1903-01-22
752,2163.8738,1903-01-23
753,2124.6042,1903-01-24
754,2094.9133,1903-01-25
755,2071.281,1903-01-26
756,2055.2131,1903-01-27
757,2033.8173,1903-01-28
758,2010.6093,1903-01-29
759,1989.9606,1903-01-30
760,1971.3728,1903-01-31
761,1953.7643,1903-02-01
762,1936.6074,1903-02-02
763,1916.6233,1903-02-03
764,1894.5538,1903-02-04
765,1872.6328,1903-02-05
766,1851.3033,1903-02-06
767,1829.6497,1903-02-07
768,1806.6455,1903-02-08
769,1776.3368,1903-02-09
770,1738.0594,1903-02-10
771,1695.5687,1903-02-11
772,1654.9093,1903-02-12
773,1619.1758,1903-02-13
774,1589.231,1903-02-14
775,1564.4926,1903-02-15
776,1543.081,1903-02-16
777,1522.7322,1903-02-17
778,1502.0839,1903-02-18
779,1480.7218,1903-02-19
780,1458.682,1903-02-20
781,1436.1361,1903-02-21
782,1417.6217,1903-02-22
783,1403.6129,1903-02-23
784,1383.433,1903-02-24
785,1360.6163,1903-02-25
786,1343.0715,1903-02-26
787,1387.671,1903-02-27
788,1477.1746,1903-02-28
789,1508.2793,1903-03-01
790,1540.6371,1903-03-02
791,1556.6866,1903-03-03
792,1564.2708,1903-03-04
793,1609.097,1903-03-05
794,1654.0225,1903-03-06
795,1674.5167,1903-03-07
796,1690.5975,1903-03-08
797,1704.9774,1903-03-09
798,1706.7997,1903-03-10
799,1689.4603,1903-03-11
800,1657.8339,1903-03-12
801,1620.5863,1903-03-13
802,1583.7823,1903-03-14
803,1550.0531,1903-03-15
804,1519.9683,1903-03-16
