,discharge,datetime
624,1983.0609,1902-09-17
625,1924.2076,1902-09-18
626,1863.9584,1902-09-19
627,1791.3008,1902-09-20
628,1709.9722,1902-09-21
629,1630.3883,1902-09-22
630,1560.7697,1902-09-23
631,1541.8547,1902-09-24
632,1571.3696,1902-09-25
633,1557.6283,1902-09-26
634,1505.3083,1902-09-27
635,1447.9878,1902-09-28
636,1378.3054,1902-09-29
637,1296.662,1902-09-30
638,1212.5524,1902-10-01
639,1134.2161,1902-10-02
640,1067.243,1902-10-03
641,1013.05316,1902-10-04
642,974.76324,1902-10-05
643,963.6178,1902-10-06
644,985.9926,1902-10-07
645,1057.8727,1902-10-08
646,1212.1368,1902-10-09
647,1477.9093,1902-10-10
648,1750.1196,1902-10-11
649,1884.0585,1902-10-12
650,1955.1859,1902-10-13
651,1990.7882,1902-10-14
652,2007.6815,1902-10-15
653,1988.9152,1902-10-16
654,1968.1611,1902-10-17
655,1956.9628,1902-10-18
656,1947.1512,1902-10-19
657,1961.7963,1902-10-20
658,1951.532,1902-10-21
659,1905.5228,1902-10-22
660,1866.9491,1902-10-23
661,1829.7386,1902-10-24
662,1808.4921,1902-10-25
663,1790.2809,1902-10-26
664,1767.9548,1902-10-27
665,1741.2739,1902-10-28
666,1711.6539,1902-10-29
667,1679.9519,1902-10-30
668,1646.8385,1902-10-31
669,1612.9574,1902-11-01
670,1580.1624,1902-11-02
671,1550.0023,1902-11-03
672,1521.5404,1902-11-04
673,1492.6566,1902-11-05
674,1459.1871,1902-11-06
675,1413.2386,1902-11-07
676,1369.4745,1902-11-08
677,1320.6111,1902-11-09
678,1256.3849,1902-11-10
679,1204.427,1902-11-11
680,1181.4858,1902-11-12
681,1169.7163,1902-11-13
682,1155.5608,1902-11-14
683,1134.1476,1902-11-15
684,1105.8165,1902-11-16
685,1072.5507,1902-11-17
686,1036.6843,1902-11-18
687,1000.51544,1902-11-19
688,965.6719,1902-11-20
689,931.6223,1902-11-21
690,895.11664,1902-11-22
691,854.42914,1902-11-23
692,810.373,1902-11-24
693,771.5275,1902-11-25
694,747.91864,1902-11-26
695,736.69946,1902-11-27
696,747.2053,1902-11-28
697,760.0135,1902-11-29
698,771.1518,1902-11-30
699,790.10315,1902-12-01
